장소ID, 장소명, 도로명주소, 장소상세설명, 유저ID, 위도, 경도, 등록일시, 수정일시, 지번주소, 사용여부
2507,sk 렌터카,제주특별자치도 제주시 덕지2길 6,렌트!!,,33.4943104,126.4501702,2019-10-05,2019-10-05,제주특별자치도 제주시 이호동 1905-18,
2509,이호태우해변,제주특별자치도 제주시 신대로10길 29,조랑말,,33.4957326,126.4543486,2019-10-05,2019-10-05,제주특별자치도 제주시 이호동 1600-5,
2510,주상절리,,...,,33.2546327,126.4426666,2019-10-05,2019-10-05,제주특별자치도 서귀포시 중문동 672-2,
2534,제주공항,,도착,,33.484553,126.5045972,2019-10-09,2019-10-09,제주특별자치도 제주시 오라동 3136,
2540,스카이워터,,워터서커스,,33.4228198,126.7438946,2019-10-09,2019-10-09,제주특별자치도 제주시 구좌읍 송당리 2763-2,
2541,솔펜션,제주특별자치도 제주시 해맞이해안로 2478,숙소,,33.4862395,126.9019233,2019-10-09,2019-10-09,제주특별자치도 제주시 구좌읍 종달리 722,
2542,기원뚝배기,제주특별자치도 서귀포시 천제연로178번길 34-11,칼치조림,,33.2568843,126.4141528,2019-10-09,2019-10-09,제주특별자치도 서귀포시 예래동 2279,
2544,에코랜드,제주특별자치도 제주시 남조로 1982,22일,,33.4453642,126.6742573,2019-10-10,2019-10-10,제주특별자치도 제주시 조천읍 교래리 385-1,
2546,주상절리대,제주특별자치도 제주시 남조로 1982,23,,33.2374846,126.4247733,2019-10-10,2019-10-10,제주특별자치도 서귀포시 중문동,
2547,메이즈랜드,제주특별자치도 제주시 비자림로 2134-47 매이즈랜드,24,,33.4873533,126.801445,2019-10-10,2019-10-10,제주특별자치도 제주시 구좌읍 평대리 3322,
2549,유리의성,제주특별자치도 제주시 비자림로 2134-47 매이즈랜드,23,,33.3127201,126.272791,2019-10-10,2019-10-10,제주특별자치도 제주시 한경면 저지리 산37-10,
2550,외돌개,제주특별자치도 제주시 비자림로 2134-47 매이즈랜드,23,,33.2379868,126.5468664,2019-10-10,2019-10-10,제주특별자치도 서귀포시 서홍동,
2563,제주 공항 ,제주특별자치도 제주시 다호길 21,제주 공항,,33.5057111,126.4928139,2019-10-12,2019-10-12,제주특별자치도 제주시 용담2동 1984-5,
2566,라사니아 캐슬 리조트,,숙소,,33.372756,126.8722875,2019-10-12,2019-10-12,제주특별자치도 서귀포시 성산읍 신산리,
2579,해왓물회,제주특별자치도 서귀포시 신고로 30-1,갈치조림,,33.438515,126.9171905,2019-10-14,2019-10-14,제주특별자치도 서귀포시 성산읍 고성리 524-2,
2582,놀맨,제주특별자치도 제주시 애월로1길 26-4,해물라면,,33.4627613,126.3100828,2019-10-14,2019-10-14,제주특별자치도 제주시 애월읍 애월리 2533-1,
2593,xcx,,xc,,33.3680872,126.5316088,2019-10-17,2019-10-17,제주특별자치도 제주시 아라동 산182,
2590,이강통닭,제주특별자치도 제주시 애월해안로 859-1,제주 애월해안도로 치킨 맛있는곳 이강통닭 매일 16:00 - 23:00 매주 목요일 휴무(공휴일은 정상영업),,33.4882922,126.3899672,2019-10-16,2019-10-16,제주특별자치도 제주시 애월읍 하귀2리 2825-2,
2591,탐라스테이호텔,제주특별자치도 제주시 애월해안로 881,숙박,,33.4869306,126.391186,2019-10-17,2019-10-17,제주특별자치도 제주시 애월읍 하귀2리 2732,
2594,sdfsdf,,adfsff,,33.3246393,126.7191184,2019-10-17,2019-10-17,제주특별자치도 서귀포시 남원읍 의귀리 581-4,
2597,공항,제주특별자치도 제주시 서해안로 410,ㅇㅇ,,33.5112712,126.4880294,2019-10-19,2019-10-19,제주특별자치도 제주시 용담2동 833,
2598,제주국제공항,,14:30 도착,,33.5028701,126.4926745,2019-10-19,2019-10-19,제주특별자치도 제주시 용담2동 1943,
2607,국제 공항,제주특별자치도 제주시 연동9길 3,공항,,33.4893241,126.4921425,2019-10-20,2019-10-20,제주특별자치도 제주시 연동 282-2,
2467,제주국제공항,제주특별자치도 제주시 공항로 2 국제공항,출발,,33.5069096,126.4930099,2019-10-01,2019-10-01,제주특별자치도 제주시 용담2동 2002,
2468,IBK제주수련관(숙소),제주특별자치도 제주시 신대로13길 37 중소기업은행제주수련관,숙소,,33.4877089,126.500684,2019-10-01,2019-10-01,제주특별자치도 제주시 연동 322-11,
2469,SK렌터카,제주특별자치도 제주시 덕지2길 6,렌터카,,33.4937031,126.4500506,2019-10-01,2019-10-01,제주특별자치도 제주시 이호동 1898-5,
2471,자매국수 노형점,제주특별자치도 제주시 월랑로4길 6,"식당,국수",,33.4878584,126.4784621,2019-10-01,2019-10-01,제주특별자치도 제주시 노형동 1279-1,
2472,커피프렌즈,제주특별자치도 서귀포시 안덕면 중산간서로 2026,"카페,커피",,33.2886836,126.3072457,2019-10-01,2019-10-01,제주특별자치도 서귀포시 안덕면 서광리 1791,
2473,윈 스카이 호텔,제주특별자치도 서귀포시 신중남로 17,"호텔, 숙박",,33.2531976,126.5085098,2019-10-01,2019-10-01,제주특별자치도 서귀포시 대천동 162-1,
2474,롯데렌터카 제주 오토하우스,제주특별자치도 제주시 용해로 92,렌터카,,33.5091344,126.5029822,2019-10-01,2019-10-01,제주특별자치도 제주시 용담2동 855,
2476,공항,제주특별자치도 제주시 공항로 2 국제공항,공항,,33.5068453,126.4928692,2019-10-01,2019-10-01,제주특별자치도 제주시 용담2동 2002,
2477,스타렌트카,제주특별자치도 제주시 용문로 20,스타렌트카,,33.504925,126.4984293,2019-10-01,2019-10-01,제주특별자치도 제주시 용담2동 1524-12,
2513,제주 국제공항,,국제공항도착,,33.5237668,126.5442716,2019-10-06,2019-10-06,제주특별자치도 제주시 건입동 908-20,
2506,제주공항,제주특별자치도 제주시 공항로 2 국제공항,공항도착,,33.5067708,126.4928662,2019-10-05,2019-10-05,제주특별자치도 제주시 용담2동 2002,
2511,제주공항,제주특별자치도 제주시 다호동길 33,제주공항,,33.5021763,126.4946634,2019-10-05,2019-10-05,제주특별자치도 제주시 용담2동 1922-1,
2515,새마을금고연수원,제주특별자치도 제주시 평화로 2175 새마을금고 제주연수원,숙소,,33.4136845,126.3939568,2019-10-07,2019-10-07,제주특별자치도 제주시 애월읍 소길리 155-18,
2516,정수용식당,제주특별자치도 제주시 조와로 3,흑돼지,,33.5352292,126.6360002,2019-10-07,2019-10-07,제주특별자치도 제주시 조천읍 조천리 2226-5,
2524,오늘은카트레이싱,제주특별자치도 서귀포시 표선면 중산간동로 4772,카트,,33.3817758,126.7909895,2019-10-07,2019-10-07,제주특별자치도 서귀포시 표선면 성읍리 2197,
2533,제주바다위의펜션,제주특별자치도 제주시 일주서로 7219-1,3일차숙소,,33.4893652,126.4190627,2019-10-08,2019-10-08,제주특별자치도 제주시 애월읍 하귀1리 272,
2531,몽듀호텔,제주특별자치도 제주시 서해안로 382,1일차숙소,,33.5126254,126.4844298,2019-10-08,2019-10-08,제주특별자치도 제주시 용담2동 2572,
2532,제주에서돌고래를만난다면펜션,제주특별자치도 제주시 해맞이해안로 1566,2일차숙소,,33.5283933,126.8707667,2019-10-08,2019-10-08,제주특별자치도 제주시 구좌읍 하도리 3089,
2538,성산(to 우도),제주특별자치도 서귀포시 성산등용로 130-21 성산포항 종합여객터미널,우도행 배편,,33.4723883,126.9341736,2019-10-09,2019-10-09,제주특별자치도 서귀포시 성산읍 성산리 347-9,
2562,제주 공항 ,제주특별자치도 제주시 다호길 21,제주 국제 공항,,33.4949922,126.490699,2019-10-12,2019-10-12,제주특별자치도 제주시 도두동 153,
2564,섭지코지,,섭지코지,,33.4167893,126.9369588,2019-10-12,2019-10-12,대한민국,
2565,파라다이스 힐 ,제주특별자치도 서귀포시 일주동로4120번길 45,성산 파라다이스 힐,,33.4584375,126.9084294,2019-10-12,2019-10-12,제주특별자치도 서귀포시 성산읍 오조리 1119,
2581,비치카페,제주특별자치도 서귀포시 안덕면 산록남로762번길 79 비오토피아커뮤니티센터,ㄱㄱ,,33.3968659,126.2436296,2019-10-14,2019-10-14,제주특별자치도 제주시 한림읍 협재리 1653-1,
2576,형제도식당,제주특별자치도 서귀포시 일주서로 915,갈치,,33.2577635,126.4127989,2019-10-14,2019-10-14,제주특별자치도 서귀포시 예래동 2273-1,
2580,저녁(찬희),제주특별자치도 서귀포시 안덕면 산록남로762번길 79 비오토피아커뮤니티센터,ㄱㄱ,,33.3002393,126.3906335,2019-10-14,2019-10-14,제주특별자치도 서귀포시 안덕면 상천리 795-1,
2608,샐리스제주호텔,제주특별자치도 제주시 고내로 46,숙소,,33.4646013,126.3416658,2019-10-20,2019-10-20,제주특별자치도 제주시 애월읍 하가리 1258-1,
2611,이승악,제주특별자치도 제주시 공항로 2 국제공항,이승악오름,,33.3395904,126.6225759,2019-10-21,2019-10-21,제주특별자치도 서귀포시 남원읍 신례리 산2-4,
2589,숙소,제주특별자치도 제주시 어림비로 144,숙소,,33.418366,126.3279475,2019-10-16,2019-10-16,제주특별자치도 제주시 애월읍 어음리 3817-1,
2609,만복밀면,제주특별자치도 서귀포시 안덕면 산방로 53,국수집,,33.2435254,126.3268765,2019-10-20,2019-10-20,제주특별자치도 서귀포시 안덕면 화순리 1868-3,
2613,선흘곶,제주특별자치도 제주시 동백로 102,조천읍 맛집 제주재료로 만든 건강한 쌈밥정식,,33.5081439,126.7179856,2019-10-21,2019-10-21,제주특별자치도 제주시 조천읍 선흘리 산22,
2615,제주국제공항,제주특별자치도 제주시 공항로 2 국제공항,제주 도착!,,33.5062809,126.4927857,2019-10-21,2019-10-21,제주특별자치도 제주시 용담2동 2002,
2464,공항,,ㅇ,,33.505266,126.4925245,2019-10-01,2019-10-01,제주특별자치도 제주시 용담2동 1984-5,
2475,공항,,공항도착,,33.5018091,126.4885529,2019-10-01,2019-10-01,제주특별자치도 제주시 도두동 388,
2482,통계 수련원,제주특별자치도 제주시 광양13길 32-5,숙소 통계 수련원,,33.4997757,126.5339135,2019-10-02,2019-10-02,제주특별자치도 제주시 이도2동 1142-2,
2485,공항,,공항 도착,,33.5057372,126.4924691,2019-10-03,2019-10-03,제주특별자치도 제주시 용담2동 1984-5,
2486,숙소,,숙소,,33.5218898,126.8994722,2019-10-03,2019-10-03,제주특별자치도 제주시 구좌읍 하도리 385-12,
2502,제주김만복김밥 본점,제주특별자치도 제주시 오라로 41,"영업시간 8:30~20:30 김밥 6,500원",,33.4969758,126.5089417,2019-10-05,2019-10-05,제주특별자치도 제주시 오라동 2250-1,
2504,부부동원식당(두루치기),제주특별자치도 서귀포시 일주동로 5119 신광식당,"영업시간 ~20:00까지 두루치기흑돼지 8,000원 두루치기오징어 10,000원",,33.3798754,126.8760778,2019-10-05,2019-10-05,제주특별자치도 서귀포시 성산읍 신산리 1100-2,
2512,우굼,제주특별자치도 제주시 유수암로1길 26-1,점심,,33.4324898,126.4049186,2019-10-06,2019-10-06,제주특별자치도 제주시 애월읍 유수암리 892-4,
2519,자인빌리지,제주특별자치도 서귀포시 하신상로 174-21 자인빌리지 펜션,숙소,,33.2746367,126.6097137,2019-10-07,2019-10-07,제주특별자치도 서귀포시 영천동 112-3,
2517,제주공항,제주특별자치도 제주시 공항로 2 국제공항,도착,,33.5069133,126.4929771,2019-10-07,2019-10-07,제주특별자치도 제주시 용담2동 2002,
2518,롯데 렌트카,제주특별자치도 제주시 용해로 92,렌트카,,33.5090852,126.5029909,2019-10-07,2019-10-07,제주특별자치도 제주시 용담2동 855,
2520,마라도 가는 선착장,제주특별자치도 서귀포시 하신상로 174-21 자인빌리지 펜션,선착장,,33.2070146,126.2905534,2019-10-07,2019-10-07,제주특별자치도 서귀포시 대정읍 상모리 130-1,
2521,마라도 선착장,제주특별자치도 서귀포시 하신상로 174-21 자인빌리지 펜션,선착장,,33.1221167,126.2699592,2019-10-07,2019-10-07,제주특별자치도 서귀포시 대정읍 가파리,
2526,내가 등록한 장소,,임1,,33.4377776,126.7031768,2019-10-08,2019-10-08,제주특별자치도 제주시 조천읍 교래리 산9-8,
2554,카멜리아힐,제주특별자치도 제주시 한림로 337,동백보러가기,,33.2882649,126.3711213,2019-10-10,2019-10-10,제주특별자치도 서귀포시 예래동 5010,
2556,절물휴양지,제주특별자치도 제주시 명림로 584 절물휴양림,절물휴양지,,33.4261616,126.6276598,2019-10-10,2019-10-10,제주특별자치도 제주시 봉개동 산78-1,
2569,마가리따은혜씨,,마가리따은혜씨,,33.4608465,126.9336747,2019-10-13,2019-10-13,제주특별자치도 서귀포시 성산읍 성산리 399-78,
2570,OnOff,,돈까스,,33.5127527,126.9619639,2019-10-13,2019-10-13,제주특별자치도 제주시 우도면 연평리 695,
2577,팬더레저,제주특별자치도 제주시 한경면 한경해안로 448-4,"낚시, 체험3시간 인당 3만",,33.3403228,126.1682439,2019-10-14,2019-10-14,제주특별자치도 제주시 한경면 신창리 1455-1,
2578,싱싱잇,제주특별자치도 제주시 한림로 181,새벽까지 맥주한잔,,33.3864131,126.2272368,2019-10-14,2019-10-14,제주특별자치도 제주시 한림읍 금능리 1282-1,
2595,제주공항,,공항도착,,33.5059333,126.4931558,2019-10-18,2019-10-18,제주특별자치도 제주시 용담2동 1984-5,
2600,알맞은시간,제주특별자치도 서귀포시 남원월산로74번길 101-52,카페,,33.3114398,126.8137783,2019-10-19,2019-10-19,제주특별자치도 서귀포시 표선면 표선리 산4,
2610,제주공항 도착,제주특별자치도 제주시 공항로 2 국제공항,공항도착렌트카 : 스타렌트카 1층 5번게이트9번 구역 1번 탑승장,,33.5064628,126.4929774,2019-10-21,2019-10-21,제주특별자치도 제주시 용담2동 1462-1,
2612,콴도제주,제주특별자치도 서귀포시 태위로151번길 14-12,조용한 제주숙소,,33.2763987,126.6651582,2019-10-21,2019-10-21,제주특별자치도 서귀포시 남원읍 위미리 1996-6,
2616,몽듀호텔,제주특별자치도 제주시 공항로 2 국제공항,체크인,,33.5138635,126.4847518,2019-10-21,2019-10-21,제주특별자치도 제주시 용담2동 1293,
2619,제주카카,제주특별자치도 제주시 도령로 171-1,렌트카,,33.4963376,126.4930373,2019-10-22,2019-10-22,제주특별자치도 제주시 용담2동 1815,
2622,로컬크랩,제주특별자치도 제주시 해맞이해안로 2361,크랩,,33.4904128,126.9107013,2019-10-22,2019-10-22,제주특별자치도 제주시 구좌읍 종달리 611,
2623,월정리에펜션,제주특별자치도 제주시 월정1길 82-5,펜션,,33.5583062,126.7934083,2019-10-23,2019-10-23,제주특별자치도 제주시 구좌읍 월정리 634,
2624,제주어멍 통갈치,제주특별자치도 제주시 서해안로 372,"제주어멍 통갈치해물,생선요리 전화 064-747-8288 영업 매일 08:00~21:30 연중무휴",,33.5115565,126.484068,2019-10-23,2019-10-23,제주특별자치도 제주시 용담2동 2576-3,
2735,제주항,제주특별자치도 제주시 임항로 191,제주항,,33.523572,126.5387811,2019-11-11,2019-11-11,제주특별자치도 제주시 건입동,
2742,송정농원,,감귤체험,,33.4796568,126.5640115,2019-11-12,2019-11-12,제주특별자치도 제주시 아라동 2469,
2744,식사-마리조아(중문점),제주특별자치도 서귀포시 이어도로 215,말고기,,33.2415532,126.443145,2019-11-13,2019-11-13,제주특별자치도 서귀포시 중문동 2232-1,
2746,식사-곰탕제작소,제주특별자치도 서귀포시 안덕면 녹차분재로 20,곰탕,,33.2874147,126.302801,2019-11-13,2019-11-13,제주특별자치도 서귀포시 안덕면 서광리 1905-1,
2748,식사-문어아저씨,제주특별자치도 제주시 조함해안로 480,문어,,33.5430215,126.6641736,2019-11-13,2019-11-13,제주특별자치도 제주시 조천읍 함덕리 1252-42,
2753,공항,제주특별자치도 제주시 공항로 2 국제공항,도착,,33.5067316,126.4930087,2019-11-14,2019-11-14,제주특별자치도 제주시 용담2동 2002,
2785,가시아방,,고기국수,,33.4384643,126.9182769,2019-11-19,2019-11-19,제주특별자치도 서귀포시 성산읍 고성리 528,
2773,아비아호텔,제주특별자치도 제주시 노연로 49,체크아웃,,33.4861884,126.4856455,2019-11-18,2019-11-18,제주특별자치도 제주시 노형동 917-7,
2777,고산초등학교,제주특별자치도 제주시 한경면 고산로1길 16 고산초등학교,아빠,,33.3042383,126.1772806,2019-11-19,2019-11-19,제주특별자치도 제주시 한경면 고산리 2684-1,
2788,소담한끼,제주특별자치도 제주시 우도면 우도해안길 1022,밥,,33.5046005,126.9673122,2019-11-19,2019-11-19,제주특별자치도 제주시 우도면 연평리 143-1,
2792,송정농원,제주특별자치도 제주시 아봉로 191,감귤체험(영평동 2465-7),,33.4793631,126.5641684,2019-11-20,2019-11-20,제주특별자치도 제주시 아라동 2465-13,
2825,한림공원,,공원식당에서점심,,33.390155,126.2383433,2019-11-21,2019-11-21,제주특별자치도 제주시 한림읍 협재리 2487-3,
2826,칠돈가,제주특별자치도 서귀포시 중문관광로 8,식사,,33.2574521,126.4144336,2019-11-21,2019-11-21,제주특별자치도 서귀포시 예래동 2312-1,
2827,만족한상회,제주특별자치도 서귀포시 중문상로 58-5,식사,,33.2535137,126.4267415,2019-11-21,2019-11-21,제주특별자치도 서귀포시 중문동 1665-5,
2902,빌리카,제주특별자치도 제주시 용문로 62,렌트카,,33.5034791,126.5016698,2019-12-04,2019-12-04,제주특별자치도 제주시 용담2동 723,
2922,제주공항,,ㅇㅇ,,33.5064629,126.4929774,2019-12-07,2019-12-07,제주특별자치도 제주시 용담2동 1462-1,
2923,제주공항,제주특별자치도 제주시 공항로 2 국제공항,제주공항 도착,,33.5072702,126.4921619,2019-12-07,2019-12-07,제주특별자치도 제주시 용담2동 2002,
2929,렌트,제주특별자치도 제주시 공항로 2 국제공항,차량렌트,,33.5052304,126.4958622,2019-12-08,2019-12-08,제주특별자치도 제주시 용담2동 1462-1,
2712,제주에서 돌고래를 만난다면 펜션,제주특별자치도 제주시 해맞이해안로 1566,펜션,,33.5283213,126.8707253,2019-11-04,2019-11-04,제주특별자치도 제주시 구좌읍 하도리 3089,
2725,(주)휴럼,,숙소,,33.2969641,126.6303922,2019-11-09,2019-11-09,제주특별자치도 서귀포시 남원읍 신례리 1575-1,
2722,스카이워터쇼,,스카이워터쇼,,33.4228392,126.7442571,2019-11-08,2019-11-08,제주특별자치도 제주시 구좌읍 송당리 2763-2,
2757,짱구네 유채꽃밭,제주특별자치도 서귀포시 일출로 80,귤사진,,33.4496779,126.9204697,2019-11-16,2019-11-16,제주특별자치도 서귀포시 성산읍 고성리 238,
2751,공항도착,제주특별자치도 제주시 다호6길 15,공항,,33.4990143,126.4940972,2019-11-13,2019-11-13,제주특별자치도 제주시 용담2동 1869-2,
2760,귤중옥펜션,제주특별자치도 서귀포시 안덕면 일주서로2048번길 182-7,첫 번째 숙소 ,,33.2643383,126.3015832,2019-11-17,2019-11-17,제주특별자치도 서귀포시 안덕면 덕수리 2735,
2761,아르츠 스파 앤 플빌라,제주특별자치도 제주시 해맞이해안로 2486-23,두 번째 숙소,,33.4857596,126.9001105,2019-11-17,2019-11-17,제주특별자치도 제주시 구좌읍 종달리 660,
2762,서귀포,제주특별자치도 서귀포시 중앙로 105 서귀포시청,서귀포,,33.2537016,126.5598669,2019-11-17,2019-11-17,제주특별자치도 서귀포시 서홍동 440-1,
2765,제주항공,,공항도착,,33.5050745,126.494027,2019-11-18,2019-11-18,제주특별자치도 제주시 용담2동 1462,
2778,공룡의나라,,공룡,,33.4325455,126.6739933,2019-11-19,2019-11-19,제주특별자치도 제주시 조천읍 교래리 603,
2775,온오프,제주특별자치도 제주시 우도면 우도해안길 876,흑돼지돈까스,,33.5129057,126.9613399,2019-11-18,2019-11-18,제주특별자치도 제주시 우도면 연평리 690,
2776,W3075,제주특별자치도 제주시 해맞이해안로 1616,카페,,33.5290936,126.8757319,2019-11-18,2019-11-18,제주특별자치도 제주시 구좌읍 하도리 3075,
2780,제주공항,제주특별자치도 제주시 신대로8길 33 한천주택,제주국제공항,,33.4944584,126.4986066,2019-11-19,2019-11-19,제주특별자치도 제주시 연동 170,
2784,아르츠스파,제주특별자치도 제주시 해맞이해안로 2486-23,숙소,,33.4855661,126.8996902,2019-11-19,2019-11-19,제주특별자치도 제주시 구좌읍 종달리 660,
