순위,관광지명,주소,분류,합산 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,797036
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,294248
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,262585
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),192790
5,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),192665
6,협재해수욕장,제주 제주시,자연경관(하천/해양),183027
7,이호테우해변,제주 제주시,자연경관(하천/해양),134578
8,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설,118226
9,곽지해수욕장,제주 제주시,자연경관(하천/해양),109923
10,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,109836
11,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,106966
12,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,106690
13,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,99558
14,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,97743
15,스누피가든,제주 제주시 금백조로 930-0,기타관광,96920
16,그랜드하얏트제주,제주 제주시 노연로 12-0,호텔,93809
17,비자림,제주 제주시 비자숲길 55-0,자연공원,93500
18,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,82307
19,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,81592
20,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,78652
21,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,78243
22,신창풍차해안도로,제주 제주시,데이트코스,78065
23,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),77840
24,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),76867
25,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,75881
26,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,69825
27,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,68485
28,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),68010
29,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,66667
30,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,66474
31,용두암,제주 제주시 용두암길 15-0,기타관광,64352
32,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),61393
33,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,60888
34,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,59323
35,정방폭포,제주 서귀포시,자연경관(산),58934
36,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,58531
37,월정리해변,제주 제주시,자연경관(하천/해양),57242
38,표선해수욕장,제주 서귀포시,자연경관(하천/해양),56227
39,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,55262
40,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,54904
41,하귀애월해안도로,제주 제주시,데이트코스,54623
42,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,52585
43,이마트제주점,제주 제주시 탑동로 38-0,대형마트,52437
44,만장굴,제주 제주시 만장굴길 182-0,자연생태,51611
45,9.81파크,제주 제주시 천덕로 880-24,테마공원,50592
46,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,50187
47,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,49767
48,성산항,제주 서귀포시,자연경관(하천/해양),49223
49,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,49082
50,도두동무지개해안도로,제주 제주시,데이트코스,48383
51,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,48160
52,사계해수욕장,제주 서귀포시,자연경관(하천/해양),47984
53,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,47787
54,광치기해변,제주 서귀포시,자연경관(하천/해양),47491
55,산방산,제주 서귀포시 산방로 218-10,자연경관(산),47466
56,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,테마공원,44584
57,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,44208
58,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,43993
59,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,43905
60,노형수퍼마?,제주 제주시 노형로 89-0,기타문화관광지,43531
61,그랜드조선제주,제주 서귀포시 중문관광로72번길 60-0,호텔,41628
62,롯데마트제주점,제주 제주시 연북로 1-0,대형마트,40475
63,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,40159
64,금오름,제주 제주시,자연경관(산),39682
65,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,39232
66,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,38712
67,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,37993
68,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,37501
69,산굼부리,제주 제주시,복합관광시설,37357
70,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,37265
71,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19,콘도미니엄,36985
72,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,36919
73,제주민속오일시장,제주 제주시 오일장서길 26-0,시장,36656
74,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,35481
75,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),35461
76,빛의벙커,제주 서귀포시,전시시설,35102
77,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),33999
78,비밀의숲,제주 제주시,기타레저스포츠,33837
79,새별오름,제주 제주시,자연관광(산),33281
80,운진항,제주 서귀포시 최남단해안로 0-0,자연경관(하천/해양),33153
81,새별오름,제주 제주시,자연경관(산),32956
82,판포포구,제주 제주시,자연경관(하천/해양),31909
83,헬로키티아일랜드,제주 서귀포시 한창로 340-0,기타관광,31208
84,수목원길야시장,제주 제주시,시장,31152
85,한림공원,제주 제주시 한림로 300-0,도시공원,31016
86,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),30660
87,송악산둘레길,제주 서귀포시,기타레저스포츠,29576
88,신라스테이제주,제주 제주시 노연로 100-0,호텔,29488
89,제주항제6부두,제주 제주시 임항로 191-0,자연경관(하천/해양),29459
90,한라수목원,제주 제주시 수목원길 72-0,자연공원,29409
91,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,28711
92,삼양해수욕장,제주 제주시,자연경관(하천/해양),28162
93,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,28075
94,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,27357
95,홈플러스서귀포점,제주 서귀포시 중앙로 180-0,대형마트,27344
96,롯데시티호텔제주,제주 제주시 도령로 83-0,호텔,26855
97,제스코마트,제주 제주시 연북로 444-0,대형마트,26764
98,약천사,제주 서귀포시 이어도로 293-28,종교성지,26757
99,제주항국제여객선터미널,제주 제주시 임항로 191-0,교통시설,26196
100,제주민속촌,제주 서귀포시 민속해안로 631-34,역사유적지,26166
